toplam_maliyet,siparis_maliyeti_toplam,elde_tutma_toplam,stoksuz_ceza_toplam,servis_seviyesi,ortalama_stok,stoksuz_gun_sayisi,toplam_talep,karsilanan_talep,parca_no,kullanilan_r,kullanilan_Q,senaryo
3917992.0848,8390.0,458161.3686,3451440.7162,0.9459,1411.6919,1.2,5968.0674,5537.7792,Part-76,3529,74,mevcut
4995608.9412,6217.5,473911.477,4515479.9642,0.9508,3747.0932,2.4,17201.5768,16130.6722,Part-77,8220,171,mevcut
27844479.1658,8730.0,663836.6515,27171912.5142,0.8168,1646.2015,3.1,9165.5169,7129.2418,Part-78,4266,58,mevcut
73896.8139,3320.0,30916.7668,39660.0472,0.9937,2260.21,0.3,8241.2201,8173.4749,Part-79,3147,476,mevcut
470198.1427,4725.0,134339.9294,331133.2133,0.9775,4049.0317,0.2,11147.3001,10763.982,Part-80,7312,197,mevcut
398222.8976,2325.0,28177.4784,367720.4192,0.9739,3020.6492,2.4,13938.1634,13473.7409,Part-81,5183,835,mevcut
14351.4758,1130.0,7135.2013,6086.2745,0.995,2796.708,0.7,9623.204,9559.56,Part-82,4492,967,mevcut
1856683.6979,3795.0,52364.3555,1800524.3424,0.9571,9210.9684,2.8,68312.5467,64770.9264,Part-83,21879,1256,mevcut
31956211.8876,24660.0,947648.9828,30983902.9048,0.9309,3054.1553,3.6,16075.0951,14709.2478,Part-84,6901,139,mevcut
4701846.1441,9135.0,156411.6984,4536299.4457,0.9423,3720.5194,3.9,32181.775,29955.8619,Part-85,9129,443,mevcut
3524684.0039,6060.0,185365.8296,3333258.1743,0.9497,16305.5217,3.1,100403.7323,94124.991,Part-86,39420,1074,mevcut
11035257.6968,11415.0,433319.8071,10590522.8897,0.9328,1707.5931,2.0,8859.7422,8131.0203,Part-87,4269,121,mevcut
26039687.6517,5850.0,332113.4825,25701724.1692,0.8605,1390.448,5.6,11397.6959,9524.1958,Part-88,3731,95,mevcut
623825.8269,4530.0,54913.8869,564381.94,0.9637,1924.8059,3.4,13062.8587,12503.2779,Part-89,2087,660,mevcut
343958.349,1792.5,9963.5698,332202.2792,0.9451,1508.3585,4.9,15460.8997,14482.4817,Part-90,4088,603,mevcut
25841.1096,2400.0,9736.3732,13704.7364,0.9843,2785.1176,0.9,6645.6263,6494.7762,Part-91,4369,767,mevcut
305072704.2824,6195.0,1367623.6338,303698885.6486,0.6005,4201.1994,30.7,53517.6352,31837.2,Part-92,15968,182,mevcut
298169.7194,3705.0,64289.7274,230174.992,0.9837,2774.2522,0.7,11289.4979,11050.7519,Part-93,4806,456,mevcut
2901097.122,10230.0,129522.4706,2761344.6514,0.9706,755.5761,2.6,5483.2905,5290.2979,Part-94,1681,148,mevcut
2721539.1582,6270.0,126054.2517,2589214.9066,0.9641,1356.9478,2.5,12731.3697,12203.5176,Part-95,3845,195,mevcut
21985622.8846,4500.0,638536.3932,21342586.4914,0.8538,1441.0313,2.7,6946.0082,5671.0597,Part-96,4863,44,mevcut
9848288.8522,10635.0,224726.4615,9612927.3907,0.9016,1817.0727,5.2,16335.3575,14425.5258,Part-97,5211,210,mevcut
477158.0058,3360.0,73616.6739,400181.3319,0.9796,3131.5584,0.5,12643.4001,12295.4466,Part-98,5133,287,mevcut
25379337.8343,18000.0,374951.5111,24986386.3232,0.8072,626.7596,6.3,7483.1299,5819.869,Part-99,4016,57,mevcut
29679227.1697,13500.0,365359.2618,29300367.9079,0.8489,2402.0923,3.6,17298.7757,14233.345,Part-100,9468,157,mevcut
22213.7647,1470.0,3876.071,16867.6937,0.9795,1456.3874,1.6,8235.4024,8021.7521,Part-101,2962,605,mevcut
30509.4509,1920.0,11142.5857,17446.8652,0.9924,3831.889,1.1,12519.2655,12402.2745,Part-102,5182,1476,mevcut
15174.806,1140.0,8234.9469,5799.8591,0.9953,2731.3257,0.6,6440.7032,6394.9775,Part-103,3795,563,mevcut
16337634.1305,18240.0,717051.2993,15602342.8312,0.9128,1464.9041,2.3,6556.7394,5835.8588,Part-104,2965,99,mevcut
117079319.4325,8450.0,768739.0767,116302130.3558,0.7107,1722.0725,18.9,23996.076,16830.997,Part-105,7035,130,mevcut
21835289.0223,18000.0,945328.1032,20871960.9191,0.9125,1834.9055,1.5,7871.1106,6970.5644,Part-106,13019,75,mevcut
203193.6548,2100.0,24794.6723,176298.9825,0.9568,2436.7886,2.9,8474.8229,8003.5109,Part-107,4126,429,mevcut
