parca_no,mevcut_r,mevcut_Q,onerilen_r,onerilen_Q,optimize_maliyet,servis_seviyesi,ortalama_stok,stoksuz_gun,hedef_servis_saglandir,r_degisimi,Q_degisimi,mevcut_maliyet,maliyet_tasarrufu,tasarruf_orani
Part-168,1468,63,2412,878,424057.53,1.0,2387.0881,0.0,True,944,815,7184118.9281,6760061.4,94.1
Part-169,3757,565,1585,1753,1914.86,0.9998,1681.583,0.2,True,-2172,1188,3584.4716,1669.61,46.58
Part-170,3848,865,3773,1895,28235.55,0.9922,2620.3619,0.7,True,-75,1030,27776.8173,-458.73,-1.65
Part-171,1585,79,1960,973,630417.76,1.0,1575.7388,0.0,True,375,894,10006975.7467,9376557.99,93.7
Part-172,2047,81,2979,781,343862.28,1.0,1961.9007,0.0,True,932,700,3812316.0264,3468453.75,90.98
Part-173,3493,112,3284,1002,1645825.95,1.0,2590.6804,0.0,True,-209,890,7912771.5653,6266945.62,79.2
Part-174,5167,27,1903,1476,1158677.4,0.9992,1676.1802,0.1,True,-3264,1449,9952254.4656,8793577.07,88.36
Part-175,3557,995,4480,3354,79594.0,0.9967,3517.0911,0.3,True,923,2359,292023.9145,212429.91,72.74
Part-176,929,48,1135,1113,333400.3,1.0,1440.598,0.0,True,206,1065,3480520.8278,3147120.53,90.42
Part-177,2125,171,2240,855,100585.36,0.9926,1436.0865,0.8,True,115,684,173360.0208,72774.66,41.98
Part-178,1853,171,2039,807,141657.52,0.9999,1338.2095,0.1,True,186,636,485653.9917,343996.47,70.83
Part-179,879,140,1048,578,72456.84,1.0,1034.1539,0.0,True,169,438,594334.4303,521877.59,87.81
